"key","lat","lon","order","family","genus","species","year","vernacularName"
961783248,46.9244,-121.665,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2013,"Sooty Grouse"
962098604,46.8561,-121.481,"Charadriiformes","Scolopacidae","Actitis","Actitis macularius",2013,"Spotted Sandpiper"
962120876,46.7869,-121.758,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2013,"Song Sparrow"
962236369,46.9244,-121.665,"Passeriformes","Parulidae","Cardellina","Cardellina pusilla",2013,"Wilson's Warbler"
962263934,46.9244,-121.665,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
962354369,46.7609,-122.019,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962693071,46.915,-121.641,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2013,"Clark's Nutcracker"
962740757,46.9244,-121.665,"Passeriformes","Regulidae","Regulus","Regulus satrapa",2013,"Golden-crowned Kinglet"
962749210,46.9244,-121.665,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2013,"Mountain Bluebird"
962751133,46.9244,-121.665,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2013,"Sooty Grouse"
962767023,46.9244,-121.665,"Passeriformes","Alaudidae","Eremophila","Eremophila alpestris",2013,"Horned Lark"
962767446,46.9244,-121.665,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2013,"Red-breasted Nuthatch"
962872036,46.8748,-121.518,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2013,"Pine Siskin"
962873375,46.8748,-121.518,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
962877914,46.8748,-121.518,"Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",2013,"Orange-crowned Warbler"
963181575,46.7702,-121.731,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
963199313,46.7609,-122.019,"Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus",2013,"Rufous Hummingbird"
963204103,46.915,-121.641,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
